device_id,gender_id,app_name,minutes,Publisher
B-52-52155,2.0,Amazon Mobile (Mobile App),0.0378,Amazon Sites
B-52-9082,2.0,Amazon Mobile (Mobile App),0.0756,Amazon Sites
B-52-20729,1.0,Amazon Mobile (Mobile App),0.0756,Amazon Sites
B-52-38817,2.0,Amazon Mobile (Mobile App),0.0756,Amazon Sites
B-52-49381,2.0,Amazon Mobile (Mobile App),0.1134,Amazon Sites
B-52-41002,1.0,Amazon Mobile (Mobile App),0.1134,Amazon Sites
B-52-44669,2.0,Amazon Mobile (Mobile App),0.1134,Amazon Sites
B-52-40508,1.0,Amazon Mobile (Mobile App),0.1512,Amazon Sites
B-52-35815,2.0,Amazon Mobile (Mobile App),0.1512,Amazon Sites
B-52-43301,2.0,Amazon Mobile (Mobile App),0.1512,Amazon Sites
B-52-39406,2.0,Amazon Mobile (Mobile App),0.1512,Amazon Sites
B-52-5187,1.0,Amazon Mobile (Mobile App),0.1512,Amazon Sites
B-52-46854,1.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-703,1.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-48640,2.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-25308,2.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-40394,1.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-48488,2.0,Amazon Mobile (Mobile App),0.18899999999999997,Amazon Sites
B-52-25403,1.0,Amazon Mobile (Mobile App),0.2268,Amazon Sites
B-52-19247,,Amazon Mobile (Mobile App),0.2268,Amazon Sites
B-52-23275,1.0,Amazon Mobile (Mobile App),0.2268,Amazon Sites
B-52-13509,1.0,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-1805,,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-26961,2.0,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-34200,2.0,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-27892,1.0,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-8037,2.0,Amazon Mobile (Mobile App),0.2646,Amazon Sites
B-52-40147,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-44175,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-2451,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-7163,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-361,1.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-11723,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-16701,2.0,Amazon Mobile (Mobile App),0.3024,Amazon Sites
B-52-22705,1.0,Amazon Mobile (Mobile App),0.3402,Amazon Sites
B-52-9576,2.0,Amazon Mobile (Mobile App),0.3402,Amazon Sites
B-52-52136,2.0,Amazon Mobile (Mobile App),0.3402,Amazon Sites
B-52-14041,2.0,Amazon Mobile (Mobile App),0.3402,Amazon Sites
B-52-18525,2.0,Amazon Mobile (Mobile App),0.3402,Amazon Sites
B-52-46170,1.0,Amazon Mobile (Mobile App),0.37799999999999995,Amazon Sites
B-52-24605,,Amazon Mobile (Mobile App),0.37799999999999995,Amazon Sites
B-52-12825,2.0,Amazon Mobile (Mobile App),0.4158,Amazon Sites
B-52-9956,1.0,Amazon Mobile (Mobile App),0.4158,Amazon Sites
B-52-22857,2.0,Amazon Mobile (Mobile App),0.4158,Amazon Sites
B-52-40945,1.0,Amazon Mobile (Mobile App),0.4158,Amazon Sites
B-52-29735,1.0,Amazon Mobile (Mobile App),0.4536,Amazon Sites
B-52-35758,2.0,Amazon Mobile (Mobile App),0.4536,Amazon Sites
B-52-25498,2.0,Amazon Mobile (Mobile App),0.4536,Amazon Sites
B-52-1786,1.0,Amazon Mobile (Mobile App),0.4914,Amazon Sites
B-52-40166,2.0,Amazon Mobile (Mobile App),0.4914,Amazon Sites
B-52-30647,1.0,Amazon Mobile (Mobile App),0.4914,Amazon Sites
B-52-35606,2.0,Amazon Mobile (Mobile App),0.4914,Amazon Sites
B-52-13414,1.0,Amazon Mobile (Mobile App),0.5292,Amazon Sites
B-52-2356,2.0,Amazon Mobile (Mobile App),0.5292,Amazon Sites
B-52-5643,1.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-51870,2.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-19399,2.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-19969,2.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-43795,1.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-28329,1.0,Amazon Mobile (Mobile App),0.5670000000000001,Amazon Sites
B-52-52478,2.0,Amazon Mobile (Mobile App),0.6048,Amazon Sites
B-52-30989,2.0,Amazon Mobile (Mobile App),0.6048,Amazon Sites
B-52-36214,2.0,Amazon Mobile (Mobile App),0.6426,Amazon Sites
B-52-3610,2.0,Amazon Mobile (Mobile App),0.6426,Amazon Sites
B-52-36651,2.0,Amazon Mobile (Mobile App),0.6426,Amazon Sites
B-52-18031,2.0,Amazon Mobile (Mobile App),0.6426,Amazon Sites
B-52-13756,1.0,Amazon Mobile (Mobile App),0.6426,Amazon Sites
B-52-44821,2.0,Amazon Mobile (Mobile App),0.6804,Amazon Sites
B-52-29412,2.0,Amazon Mobile (Mobile App),0.6804,Amazon Sites
B-52-41895,,Amazon Mobile (Mobile App),0.7559999999999999,Amazon Sites
B-52-52060,1.0,Amazon Mobile (Mobile App),0.7938,Amazon Sites
B-52-25517,1.0,Amazon Mobile (Mobile App),0.7938,Amazon Sites
B-52-5434,2.0,Amazon Mobile (Mobile App),0.8316,Amazon Sites
B-52-29564,2.0,Amazon Mobile (Mobile App),0.8316,Amazon Sites
B-52-51813,1.0,Amazon Mobile (Mobile App),0.8316,Amazon Sites
B-52-29393,2.0,Amazon Mobile (Mobile App),0.8316,Amazon Sites
B-52-23978,2.0,Amazon Mobile (Mobile App),0.8694,Amazon Sites
B-52-11476,2.0,Amazon Mobile (Mobile App),0.8694,Amazon Sites
B-52-42655,2.0,Amazon Mobile (Mobile App),0.9072,Amazon Sites
B-52-48545,2.0,Amazon Mobile (Mobile App),0.9072,Amazon Sites
B-52-30229,2.0,Amazon Mobile (Mobile App),0.945,Amazon Sites
B-52-44403,,Amazon Mobile (Mobile App),0.945,Amazon Sites
B-52-5016,1.0,Amazon Mobile (Mobile App),0.945,Amazon Sites
B-52-4218,2.0,Amazon Mobile (Mobile App),0.945,Amazon Sites
B-52-39387,2.0,Amazon Mobile (Mobile App),0.9828,Amazon Sites
B-52-21280,1.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-4864,2.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-19152,2.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-33041,1.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-50540,2.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-45961,2.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-26505,2.0,Amazon Mobile (Mobile App),1.0206,Amazon Sites
B-52-14250,1.0,Amazon Mobile (Mobile App),1.0584,Amazon Sites
B-52-46208,2.0,Amazon Mobile (Mobile App),1.0584,Amazon Sites
B-52-40660,1.0,Amazon Mobile (Mobile App),1.0584,Amazon Sites
B-52-43054,2.0,Amazon Mobile (Mobile App),1.0962,Amazon Sites
B-52-50293,1.0,Amazon Mobile (Mobile App),1.1718,Amazon Sites
B-52-37525,2.0,Amazon Mobile (Mobile App),1.1718,Amazon Sites
B-52-50882,2.0,Amazon Mobile (Mobile App),1.1718,Amazon Sites
B-52-2432,2.0,Amazon Mobile (Mobile App),1.1718,Amazon Sites
B-52-49723,2.0,Amazon Mobile (Mobile App),1.2096,Amazon Sites
B-52-2888,2.0,Amazon Mobile (Mobile App),1.2474,Amazon Sites
B-52-47576,2.0,Amazon Mobile (Mobile App),1.2852,Amazon Sites
B-52-13832,2.0,Amazon Mobile (Mobile App),1.3230000000000002,Amazon Sites
B-52-35245,2.0,Amazon Mobile (Mobile App),1.3608,Amazon Sites
B-52-23750,2.0,Amazon Mobile (Mobile App),1.3608,Amazon Sites
B-52-26847,2.0,Amazon Mobile (Mobile App),1.3608,Amazon Sites
B-52-33516,2.0,Amazon Mobile (Mobile App),1.3608,Amazon Sites
B-52-17898,2.0,Amazon Mobile (Mobile App),1.3608,Amazon Sites
B-52-48241,1.0,Amazon Mobile (Mobile App),1.3986,Amazon Sites
B-52-35530,1.0,Amazon Mobile (Mobile App),1.3986,Amazon Sites
B-52-39083,2.0,Amazon Mobile (Mobile App),1.3986,Amazon Sites
B-52-15865,2.0,Amazon Mobile (Mobile App),1.3986,Amazon Sites
B-52-1254,2.0,Amazon Mobile (Mobile App),1.4364,Amazon Sites
B-52-38342,2.0,Amazon Mobile (Mobile App),1.4364,Amazon Sites
B-52-41762,1.0,Amazon Mobile (Mobile App),1.4742,Amazon Sites
B-52-18924,2.0,Amazon Mobile (Mobile App),1.4742,Amazon Sites
B-52-40014,1.0,Amazon Mobile (Mobile App),1.5119999999999998,Amazon Sites
B-52-32053,2.0,Amazon Mobile (Mobile App),1.5119999999999998,Amazon Sites
B-52-47557,2.0,Amazon Mobile (Mobile App),1.5498,Amazon Sites
B-52-26372,2.0,Amazon Mobile (Mobile App),1.5876,Amazon Sites
B-52-49305,2.0,Amazon Mobile (Mobile App),1.6254,Amazon Sites
B-52-47785,2.0,Amazon Mobile (Mobile App),1.6254,Amazon Sites
B-52-52288,2.0,Amazon Mobile (Mobile App),1.6254,Amazon Sites
B-52-31331,2.0,Amazon Mobile (Mobile App),1.7009999999999998,Amazon Sites
B-52-380,1.0,Amazon Mobile (Mobile App),1.7009999999999998,Amazon Sites
B-52-48298,1.0,Amazon Mobile (Mobile App),1.7009999999999998,Amazon Sites
B-52-7790,2.0,Amazon Mobile (Mobile App),1.7388,Amazon Sites
B-52-18753,2.0,Amazon Mobile (Mobile App),1.7388,Amazon Sites
B-52-43092,2.0,Amazon Mobile (Mobile App),1.7388,Amazon Sites
B-52-47215,1.0,Amazon Mobile (Mobile App),1.7388,Amazon Sites
B-52-15485,1.0,Amazon Mobile (Mobile App),1.7388,Amazon Sites
B-52-21698,1.0,Amazon Mobile (Mobile App),1.7766,Amazon Sites
B-52-49267,2.0,Amazon Mobile (Mobile App),1.7766,Amazon Sites
B-52-9443,1.0,Amazon Mobile (Mobile App),1.8522,Amazon Sites
B-52-13794,1.0,Amazon Mobile (Mobile App),1.8522,Amazon Sites
B-52-8303,2.0,Amazon Mobile (Mobile App),1.89,Amazon Sites
B-52-35663,2.0,Amazon Mobile (Mobile App),1.89,Amazon Sites
B-52-7524,1.0,Amazon Mobile (Mobile App),1.89,Amazon Sites
B-52-34998,2.0,Amazon Mobile (Mobile App),1.9278,Amazon Sites
B-52-35283,2.0,Amazon Mobile (Mobile App),1.9278,Amazon Sites
B-52-8531,2.0,Amazon Mobile (Mobile App),1.9278,Amazon Sites
B-52-52269,,Amazon Mobile (Mobile App),1.9656,Amazon Sites
B-52-35036,2.0,Amazon Mobile (Mobile App),10.017000000000001,Amazon Sites
B-52-46094,2.0,Amazon Mobile (Mobile App),10.017000000000001,Amazon Sites
B-52-34390,1.0,Amazon Mobile (Mobile App),10.0926,Amazon Sites
B-52-26296,2.0,Amazon Mobile (Mobile App),10.3194,Amazon Sites
B-52-30590,1.0,Amazon Mobile (Mobile App),10.4328,Amazon Sites
B-52-13490,1.0,Amazon Mobile (Mobile App),10.4328,Amazon Sites
B-52-31350,2.0,Amazon Mobile (Mobile App),10.5084,Amazon Sites
B-52-15048,2.0,Amazon Mobile (Mobile App),10.584000000000001,Amazon Sites
B-52-17461,1.0,Amazon Mobile (Mobile App),10.6974,Amazon Sites
B-52-18316,1.0,Amazon Mobile (Mobile App),10.8108,Amazon Sites
B-52-42997,2.0,Amazon Mobile (Mobile App),10.8108,Amazon Sites
B-52-28120,,Amazon Mobile (Mobile App),10.9242,Amazon Sites
B-52-36955,1.0,Amazon Mobile (Mobile App),100.359,Amazon Sites
B-52-32471,2.0,Amazon Mobile (Mobile App),101.3418,Amazon Sites
B-52-10545,2.0,Amazon Mobile (Mobile App),101.5308,Amazon Sites
B-52-9595,2.0,Amazon Mobile (Mobile App),101.6064,Amazon Sites
B-52-21546,2.0,Amazon Mobile (Mobile App),101.7198,Amazon Sites
B-52-3211,2.0,Amazon Mobile (Mobile App),101.7198,Amazon Sites
B-52-37012,2.0,Amazon Mobile (Mobile App),101.7198,Amazon Sites
B-52-35359,2.0,Amazon Mobile (Mobile App),102.5136,Amazon Sites
B-52-7505,2.0,Amazon Mobile (Mobile App),102.5892,Amazon Sites
B-52-22268,2.0,Amazon Mobile (Mobile App),102.62700000000001,Amazon Sites
B-52-38304,1.0,Amazon Mobile (Mobile App),102.7782,Amazon Sites
B-52-36613,1.0,Amazon Mobile (Mobile App),102.9672,Amazon Sites
B-52-13072,2.0,Amazon Mobile (Mobile App),103.7232,Amazon Sites
B-52-48203,,Amazon Mobile (Mobile App),103.8744,Amazon Sites
B-52-3116,2.0,Amazon Mobile (Mobile App),103.9878,Amazon Sites
B-52-17670,1.0,Amazon Mobile (Mobile App),104.4792,Amazon Sites
B-52-13642,2.0,Amazon Mobile (Mobile App),104.706,Amazon Sites
B-52-15561,1.0,Amazon Mobile (Mobile App),104.8194,Amazon Sites
B-52-10982,1.0,Amazon Mobile (Mobile App),105.5376,Amazon Sites
B-52-29222,2.0,Amazon Mobile (Mobile App),106.1802,Amazon Sites
B-52-39976,2.0,Amazon Mobile (Mobile App),106.40700000000001,Amazon Sites
B-52-52193,2.0,Amazon Mobile (Mobile App),106.6338,Amazon Sites
B-52-4598,1.0,Amazon Mobile (Mobile App),1067.4342,Amazon Sites
B-52-29982,1.0,Amazon Mobile (Mobile App),107.6922,Amazon Sites
B-52-26581,1.0,Amazon Mobile (Mobile App),108.0324,Amazon Sites
B-52-35682,,Amazon Mobile (Mobile App),108.0324,Amazon Sites
B-52-22040,1.0,Amazon Mobile (Mobile App),108.486,Amazon Sites
B-52-3059,2.0,Amazon Mobile (Mobile App),108.86399999999999,Amazon Sites
B-52-44840,1.0,Amazon Mobile (Mobile App),109.4688,Amazon Sites
B-52-20349,2.0,Amazon Mobile (Mobile App),109.809,Amazon Sites
B-52-34485,1.0,Amazon Mobile (Mobile App),109.9224,Amazon Sites
B-52-19988,2.0,Amazon Mobile (Mobile App),109.99799999999999,Amazon Sites
B-52-42199,1.0,Amazon Mobile (Mobile App),11.0754,Amazon Sites
B-52-16454,1.0,Amazon Mobile (Mobile App),11.151,Amazon Sites
B-52-5301,2.0,Amazon Mobile (Mobile App),11.2644,Amazon Sites
B-52-18088,1.0,Amazon Mobile (Mobile App),11.3778,Amazon Sites
B-52-43871,2.0,Amazon Mobile (Mobile App),11.4156,Amazon Sites
B-52-44764,2.0,Amazon Mobile (Mobile App),11.4912,Amazon Sites
B-52-37487,1.0,Amazon Mobile (Mobile App),11.4912,Amazon Sites
